Date,Strategy,S&P 500,Nasdaq 100
2024-04-29,128759.12736699526,106662.88618742143,107889.15037119706
2024-04-30,124565.59217316768,104985.43751055443,105489.1067009559
2024-05-01,123616.13628403137,104624.76311197378,105318.67145421903
2024-05-02,125609.86156562895,105579.40361550024,106933.86384589259
2024-05-03,127277.47482938573,106905.55959779593,108647.31428016887
2024-05-06,128754.53380807354,108009.05647160366,109652.33635790188
2024-05-07,128483.1397363386,108154.57712490384,109726.93968654472
2024-05-08,129145.72225341722,108153.53471334725,109538.9150371197
2024-05-09,129935.25190419196,108704.13649753887,109926.48842738608
2024-05-10,129071.52666618642,108883.84824989524,110045.97505944005
2024-05-13,129907.07880297507,108857.16251404649,110322.55325343294
2024-05-14,131394.59959450667,109384.20579705914,111081.32369353194
2024-05-15,135334.34516915912,110665.32960011008,112795.9871900626
2024-05-16,133943.45164223827,110434.95664610337,112472.706099277
2024-05-17,134806.4379523149,110563.59023218676,112477.55834829445
2024-05-20,135066.50600463944,110664.91263548746,113157.47974186034
2024-05-21,135672.34236879653,110942.19410954078,113491.07186180794
2024-05-22,135651.31542970947,110641.97958124244,113635.42627007616
2024-05-23,133438.6997874976,109825.35436780867,112903.34319957298
2024-05-24,135040.46806644142,110593.82016732791,114034.52375175893
2024-05-28,136935.81611406404,110621.33983242193,114529.45315153574
2024-05-29,135382.89482444074,109806.79944210134,113308.50599252753
2024-05-30,136077.14238657546,109150.28864376004,112367.16968314815
2024-05-31,135176.6032735957,110026.53979823082,112348.36721820562
2024-06-03,134941.6315528317,110149.75284421993,112906.37585520888
2024-06-04,134901.2016386677,110315.28779940667,113162.33199087775
2024-06-05,138342.8838842645,111622.26340906107,115488.37886360328
2024-06-06,138336.7466322745,111599.53883712736,115400.43185016254
2024-06-07,136986.37192750437,111475.07489727033,115209.98107622884
2024-06-10,137985.59179635535,111762.78048688959,115658.81411034013
2024-06-11,138313.95395751673,112065.70528523509,116540.10383812895
2024-06-12,139749.00888293597,113018.67793027103,118719.37017807754
2024-06-13,139413.89119811796,113284.07591257921,118753.94245232665
2024-06-14,138815.77190777866,113239.46069795707,119279.80493958949
2024-06-17,139183.19461621446,114107.37255997516,120669.9742830802
2024-06-18,138550.6519468753,114394.66118497177,120805.23072444079
2024-06-20,139550.68934297393,114105.7047014846,119933.64549468679
2024-06-21,139544.07575430075,113927.45232530746,119693.4591683245
2024-06-24,139975.3216608979,113578.66141847195,118161.36154107428
2024-06-25,139233.18046643876,114025.02204700442,119499.9757387549
2024-06-26,138999.9472676391,114204.73379936081,119435.07690814692
